[I 2024-06-30 00:48:27,972] A new study created in memory with name: no-name-dc5298ab-477f-4cd0-8834-d3a5ac353222
EPOCH:10, Train Loss:244.76268005371094, Valid Loss:237.90939331054688
[I 2024-06-30 00:54:37,159] Trial 3 finished with value: 237.90939331054688 and parameters: {'z_dim': 41, 'lr': 0.005898747316319384}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:267.30902099609375, Valid Loss:246.0404815673828
EPOCH:2, Train Loss:250.951171875, Valid Loss:243.09603881835938
EPOCH:3, Train Loss:248.95924377441406, Valid Loss:241.8088836669922
EPOCH:4, Train Loss:247.98150634765625, Valid Loss:242.62322998046875
EPOCH:5, Train Loss:247.33799743652344, Valid Loss:241.3341827392578
EPOCH:6, Train Loss:246.87342834472656, Valid Loss:241.41458129882812
EPOCH:7, Train Loss:246.51864624023438, Valid Loss:241.3712615966797
EPOCH:8, Train Loss:246.28321838378906, Valid Loss:240.62155151367188
EPOCH:9, Train Loss:246.0249481201172, Valid Loss:242.15550231933594
EPOCH:10, Train Loss:245.89170837402344, Valid Loss:238.86436462402344
[I 2024-06-30 00:56:09,194] Trial 4 finished with value: 238.86436462402344 and parameters: {'z_dim': 43, 'lr': 0.00717889860471308}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:286.4186096191406, Valid Loss:252.283447265625
EPOCH:2, Train Loss:255.05690002441406, Valid Loss:245.61521911621094
EPOCH:3, Train Loss:250.6754608154297, Valid Loss:242.54197692871094
EPOCH:4, Train Loss:248.4571533203125, Valid Loss:241.15484619140625
EPOCH:5, Train Loss:247.0565948486328, Valid Loss:240.38124084472656
EPOCH:6, Train Loss:246.06471252441406, Valid Loss:238.6619873046875
EPOCH:7, Train Loss:245.33140563964844, Valid Loss:238.9152374267578
EPOCH:8, Train Loss:244.6807861328125, Valid Loss:238.118408203125
EPOCH:9, Train Loss:244.27467346191406, Valid Loss:238.0952911376953
EPOCH:10, Train Loss:243.80093383789062, Valid Loss:237.5226593017578
[I 2024-06-30 00:57:40,831] Trial 5 finished with value: 237.5226593017578 and parameters: {'z_dim': 18, 'lr': 0.0004882653647502184}. Best is trial 0 with value: 237.10488891601562.
EPOCH:1, Train Loss:263.8275451660156, Valid Loss:243.62413024902344
EPOCH:2, Train Loss:248.02688598632812, Valid Loss:240.1047821044922
EPOCH:3, Train Loss:245.97344970703125, Valid Loss:240.02658081054688
EPOCH:4, Train Loss:244.87786865234375, Valid Loss:238.43385314941406
EPOCH:5, Train Loss:244.1222381591797, Valid Loss:237.28643798828125
EPOCH:6, Train Loss:243.62106323242188, Valid Loss:237.5885772705078
EPOCH:7, Train Loss:243.1957244873047, Valid Loss:237.22146606445312
EPOCH:8, Train Loss:242.89471435546875, Valid Loss:236.91802978515625
EPOCH:9, Train Loss:242.6267852783203, Valid Loss:236.6822509765625
EPOCH:10, Train Loss:242.4891815185547, Valid Loss:236.21600341796875
[I 2024-06-30 00:59:13,173] Trial 6 finished with value: 236.21600341796875 and parameters: {'z_dim': 22, 'lr': 0.00295482955411945}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:278.05462646484375, Valid Loss:248.01390075683594
EPOCH:2, Train Loss:251.92433166503906, Valid Loss:242.01095581054688
EPOCH:3, Train Loss:248.35745239257812, Valid Loss:240.8162384033203
EPOCH:4, Train Loss:246.78826904296875, Valid Loss:239.82058715820312
EPOCH:5, Train Loss:245.8031768798828, Valid Loss:238.84280395507812
EPOCH:6, Train Loss:245.03909301757812, Valid Loss:238.34889221191406
EPOCH:7, Train Loss:244.54396057128906, Valid Loss:237.63380432128906
EPOCH:8, Train Loss:244.0791473388672, Valid Loss:236.8034210205078
EPOCH:9, Train Loss:243.6925048828125, Valid Loss:236.79986572265625
EPOCH:10, Train Loss:243.39418029785156, Valid Loss:237.703125
[I 2024-06-30 01:00:45,653] Trial 7 finished with value: 237.703125 and parameters: {'z_dim': 38, 'lr': 0.0010997606234192778}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:281.40191650390625, Valid Loss:251.81768798828125
EPOCH:2, Train Loss:253.8651580810547, Valid Loss:244.66258239746094
EPOCH:3, Train Loss:249.41712951660156, Valid Loss:242.17752075195312
EPOCH:4, Train Loss:247.34205627441406, Valid Loss:240.74188232421875
EPOCH:5, Train Loss:246.13836669921875, Valid Loss:239.76060485839844
EPOCH:6, Train Loss:245.3342742919922, Valid Loss:238.21066284179688
EPOCH:7, Train Loss:244.6798095703125, Valid Loss:237.6237030029297
EPOCH:8, Train Loss:244.2322540283203, Valid Loss:237.07308959960938
EPOCH:9, Train Loss:243.7904815673828, Valid Loss:237.44244384765625
EPOCH:10, Train Loss:243.4579315185547, Valid Loss:236.8017120361328
[I 2024-06-30 01:02:17,894] Trial 8 finished with value: 236.8017120361328 and parameters: {'z_dim': 42, 'lr': 0.0007282157965491243}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:263.164794921875, Valid Loss:244.0214385986328
EPOCH:2, Train Loss:248.480224609375, Valid Loss:240.6626434326172
EPOCH:3, Train Loss:246.43626403808594, Valid Loss:239.03973388671875
EPOCH:4, Train Loss:245.40048217773438, Valid Loss:238.56719970703125
EPOCH:5, Train Loss:244.78175354003906, Valid Loss:238.15821838378906
EPOCH:6, Train Loss:244.32106018066406, Valid Loss:238.2176055908203
EPOCH:7, Train Loss:243.95851135253906, Valid Loss:237.1874542236328
EPOCH:8, Train Loss:243.68064880371094, Valid Loss:237.21286010742188
EPOCH:9, Train Loss:243.4853515625, Valid Loss:237.6599884033203
EPOCH:10, Train Loss:243.25839233398438, Valid Loss:236.46588134765625
[I 2024-06-30 01:03:50,104] Trial 9 finished with value: 236.46588134765625 and parameters: {'z_dim': 40, 'lr': 0.004308887162485725}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:265.40618896484375, Valid Loss:248.94064331054688
EPOCH:2, Train Loss:248.79104614257812, Valid Loss:245.84327697753906
EPOCH:3, Train Loss:247.0368194580078, Valid Loss:243.5882568359375
EPOCH:4, Train Loss:246.06800842285156, Valid Loss:242.49740600585938
EPOCH:5, Train Loss:245.46481323242188, Valid Loss:242.28030395507812
EPOCH:6, Train Loss:245.02154541015625, Valid Loss:241.86297607421875
EPOCH:7, Train Loss:244.6333770751953, Valid Loss:241.8702392578125
EPOCH:8, Train Loss:244.4055938720703, Valid Loss:241.17526245117188
EPOCH:9, Train Loss:244.13470458984375, Valid Loss:241.6450958251953
EPOCH:10, Train Loss:243.94680786132812, Valid Loss:240.8217315673828
[I 2024-06-30 01:05:22,299] Trial 10 finished with value: 240.8217315673828 and parameters: {'z_dim': 7, 'lr': 0.0022470592718993668}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:264.44903564453125, Valid Loss:244.14102172851562
EPOCH:2, Train Loss:248.57986450195312, Valid Loss:241.82383728027344
EPOCH:3, Train Loss:246.54833984375, Valid Loss:239.470947265625
EPOCH:4, Train Loss:245.55059814453125, Valid Loss:239.47259521484375
EPOCH:5, Train Loss:244.86453247070312, Valid Loss:238.28045654296875
EPOCH:6, Train Loss:244.30294799804688, Valid Loss:237.66748046875
EPOCH:7, Train Loss:243.99510192871094, Valid Loss:237.1056365966797
EPOCH:8, Train Loss:243.67066955566406, Valid Loss:237.26402282714844
EPOCH:9, Train Loss:243.37242126464844, Valid Loss:237.1320343017578
EPOCH:10, Train Loss:243.2318878173828, Valid Loss:237.2012481689453
[I 2024-06-30 01:06:54,380] Trial 11 finished with value: 237.2012481689453 and parameters: {'z_dim': 26, 'lr': 0.003377003228831976}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:266.06109619140625, Valid Loss:247.31285095214844
EPOCH:2, Train Loss:251.72122192382812, Valid Loss:244.94479370117188
EPOCH:3, Train Loss:250.0354461669922, Valid Loss:243.64324951171875
EPOCH:4, Train Loss:249.1544189453125, Valid Loss:243.17800903320312
EPOCH:5, Train Loss:248.57110595703125, Valid Loss:243.22671508789062
EPOCH:6, Train Loss:248.1811981201172, Valid Loss:242.04539489746094
EPOCH:7, Train Loss:247.9763946533203, Valid Loss:242.41893005371094
EPOCH:8, Train Loss:247.72328186035156, Valid Loss:244.33087158203125
EPOCH:9, Train Loss:247.4850616455078, Valid Loss:241.48153686523438
EPOCH:10, Train Loss:247.42652893066406, Valid Loss:241.52685546875
[I 2024-06-30 01:08:26,186] Trial 12 finished with value: 241.52685546875 and parameters: {'z_dim': 27, 'lr': 0.009271644906718784}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:267.04278564453125, Valid Loss:244.81085205078125
EPOCH:2, Train Loss:249.53648376464844, Valid Loss:240.08555603027344
EPOCH:3, Train Loss:247.23394775390625, Valid Loss:239.46595764160156
EPOCH:4, Train Loss:246.14175415039062, Valid Loss:239.67359924316406
EPOCH:5, Train Loss:245.46849060058594, Valid Loss:239.43370056152344
EPOCH:6, Train Loss:244.9020538330078, Valid Loss:237.73641967773438
EPOCH:7, Train Loss:244.55909729003906, Valid Loss:238.964111328125
EPOCH:8, Train Loss:244.18429565429688, Valid Loss:239.05746459960938
EPOCH:9, Train Loss:243.94833374023438, Valid Loss:237.56788635253906
EPOCH:10, Train Loss:243.7303924560547, Valid Loss:237.1664581298828
[I 2024-06-30 01:09:58,474] Trial 13 finished with value: 237.1664581298828 and parameters: {'z_dim': 49, 'lr': 0.003539313821788436}. Best is trial 6 with value: 236.21600341796875.
EPOCH:1, Train Loss:269.5667724609375, Valid Loss:246.17108154296875
EPOCH:2, Train Loss:249.85986328125, Valid Loss:241.16064453125
EPOCH:3, Train Loss:247.1528778076172, Valid Loss:239.38987731933594
EPOCH:4, Train Loss:245.77037048339844, Valid Loss:238.77096557617188
EPOCH:5, Train Loss:244.91722106933594, Valid Loss:238.1840057373047
EPOCH:6, Train Loss:244.2092742919922, Valid Loss:236.9705047607422
EPOCH:7, Train Loss:243.68844604492188, Valid Loss:237.38967895507812
EPOCH:8, Train Loss:243.30743408203125, Valid Loss:237.23704528808594
EPOCH:9, Train Loss:243.0127716064453, Valid Loss:236.34300231933594
EPOCH:10, Train Loss:242.7205810546875, Valid Loss:236.220947265625
[I 2024-06-30 01:11:30,742] Trial 14 finished with value: 236.220947265625 and parameters: {'z_dim': 31, 'lr': 0.001496443193878989}. Best is trial 6 with value: 236.21600341796875.
Best trial: 236.21600341796875
Best hyperparameters: 
    z_dim: 22
    lr: 0.00295482955411945
